subject,trigger_foot,direction,perturbation,cadence,R_square,SS_residual,SS_total,SS_difference,foot_placement_ml_by_com_50_slope_1,foot_placement_ml_by_com_50_slope_2,foot_placement_ml_by_com_50_slope_3,foot_placement_ml_by_com_50_slope_4,cadence_actual
CAD07,TRIGGER_LEFT,STIM_TOWARDS,STIM_LEFT,80BPM,0.564751808410814,0.0119308794723754,0.0274116692565986,0.0154807897842231,2.31662746658453,0.420142699498854,0.752388338298369,-0.0482767042428891,79.751208725157
CAD07,TRIGGER_RIGHT,STIM_NONE,STIM_NONE,110BPM,0.945330349152784,0.00259900948597501,0.0475402612911944,0.0449412518052194,2.32371380249591,0.359589394321777,0.715903731167896,-0.0377136969886861,110.997965391483
CAD07,TRIGGER_RIGHT,STIM_NONE,STIM_NONE,80BPM,0.901902762409118,0.0036145608887172,0.0368467143161753,0.0332321534274581,2.56250651853086,0.437404733686203,-0.015101931416969,0.0135373112135275,82.1959375197343
CAD07,TRIGGER_RIGHT,STIM_TOWARDS,STIM_RIGHT,110BPM,0.946489033322056,0.00282281411090409,0.0527520672144313,0.0499292531035272,2.43805391030565,0.610235692296717,-0.346985009031651,0.0454995900267757,110.694628112171
CAD07,TRIGGER_RIGHT,STIM_TOWARDS,STIM_RIGHT,80BPM,0.770593441724746,0.0101649499385201,0.0443097617389111,0.034144811800391,2.20563864131467,0.476512826911693,1.40411220247447,0.259699453510257,82.3038925520531
CAD08,TRIGGER_LEFT,STIM_NONE,STIM_NONE,110BPM,0.93107762408588,0.002236690193756,0.0324523083264427,0.0302156181326867,2.52454848516204,0.509773396391728,0.545310113343008,-0.0293125724869958,110.819904957348
CAD08,TRIGGER_LEFT,STIM_NONE,STIM_NONE,80BPM,0.940775820623197,0.00219809641514525,0.037114847994098,0.0349167515789527,3.07714991837818,0.520529921011473,0.207566679552389,0.0967192936838233,82.0912877482666
CAD08,TRIGGER_LEFT,STIM_TOWARDS,STIM_LEFT,110BPM,0.927749241562714,0.00172175530218888,0.0238302730577335,0.0221085177555446,2.38714580157837,0.602920748547629,0.779907246113427,0.0114540879489527,110.670480489029
CAD08,TRIGGER_LEFT,STIM_TOWARDS,STIM_LEFT,80BPM,0.838811138251621,0.00523744724589735,0.0324926126351906,0.0272551653892932,2.55158432956653,0.526520129332581,0.485618946473346,0.113616180644066,84.0070497218769
CAD08,TRIGGER_RIGHT,STIM_NONE,STIM_NONE,110BPM,0.960768719272189,0.000823006623991534,0.0209783267006146,0.020155320076623,2.23515345849331,0.523689838903322,-0.322074396394641,-0.0208058746399205,110.943916268925
CAD08,TRIGGER_RIGHT,STIM_NONE,STIM_NONE,80BPM,0.916986353201537,0.00170669725840092,0.0205592372365518,0.0188525399781509,3.24701405396331,0.45191329674342,-0.408087015895891,0.162949895590756,81.7437654966265
CAD08,TRIGGER_RIGHT,STIM_TOWARDS,STIM_RIGHT,110BPM,0.859325818002903,0.00624005646778538,0.0443582210978425,0.0381181646300571,2.61382107066277,0.498985964469051,0.0948019167979918,0.0202408110614933,110.321771352165
CAD08,TRIGGER_RIGHT,STIM_TOWARDS,STIM_RIGHT,80BPM,0.813654567753367,0.00543322197998293,0.0291567220858515,0.0237235001058685,2.70219670864821,0.307834020648396,-0.311245276961601,-0.0176341504792128,80.0800592509925
CAD09,TRIGGER_LEFT,STIM_NONE,STIM_NONE,110BPM,0.930988413611343,0.00302182732487585,0.0437872462148256,0.0407654188899497,1.90442760794277,0.321725568577362,0.488058245535109,0.0786019311446276,113.140074532518
CAD09,TRIGGER_LEFT,STIM_NONE,STIM_NONE,80BPM,0.823558733749445,0.0066058482207501,0.0374393607636519,0.0308335125429018,2.19818933023345,0.390822703976316,0.364423349815732,-0.0329687843273913,82.2604741883029
CAD09,TRIGGER_LEFT,STIM_TOWARDS,STIM_LEFT,110BPM,0.862980763924843,0.0047841280653248,0.0349157403176634,0.0301316122523386,2.26775907710245,0.530006408215031,0.164307010208692,0.0800092483502552,109.733419854099
CAD09,TRIGGER_LEFT,STIM_TOWARDS,STIM_LEFT,80BPM,0.894646362736409,0.00542673937323276,0.0515097486350209,0.0460830092617881,2.16051430373495,0.421645466027665,0.562008943239829,0.0883136404249544,89.3131213943313
CAD09,TRIGGER_RIGHT,STIM_NONE,STIM_NONE,110BPM,0.917991043104974,0.00284394143582141,0.0346784246928263,0.0318344832570049,2.21628527893349,0.421251469036112,-0.122217066162982,-0.0895519647777895,107.200584920182
CAD09,TRIGGER_RIGHT,STIM_NONE,STIM_NONE,80BPM,0.91341766346382,0.00416733805014874,0.0481315036861743,0.0439641656360256,2.29184186796195,0.176619742933223,0.578233551184831,-0.0181711573156594,80.925025818247
CAD09,TRIGGER_RIGHT,STIM_TOWARDS,STIM_RIGHT,110BPM,0.877115338989173,0.00317674867832129,0.0258514663440493,0.022674717665728,2.01757952357522,0.59092278258816,0.192820087574467,-0.0583564169078417,106.308172585425
CAD09,TRIGGER_RIGHT,STIM_TOWARDS,STIM_RIGHT,80BPM,0.896912581524397,0.00513875435461337,0.0498485113954959,0.0447097570408825,2.48659985709778,0.0725162678007641,0.214334125288706,0.104314780763991,87.5677356171688
CAD10,TRIGGER_LEFT,STIM_NONE,STIM_NONE,110BPM,0.940264692356764,0.00246497890493834,0.0412650240233165,0.0388000451183782,2.47312668255081,0.565383755901067,-0.0972509496109683,0.0932884602629306,108.2293616053
CAD10,TRIGGER_LEFT,STIM_NONE,STIM_NONE,80BPM,0.932395766518319,0.00239353210017116,0.0354050623297097,0.0330115302295385,3.05228754666891,0.822789244013344,0.176150540151395,0.023468371001357,82.4400580330335
CAD10,TRIGGER_LEFT,STIM_TOWARDS,STIM_LEFT,110BPM,0.870564745478242,0.00690952443893842,0.0533820902540656,0.0464725658151272,2.47629670746297,0.401310987031728,0.642731315791175,-0.0904301317168591,108.842206035797
CAD10,TRIGGER_LEFT,STIM_TOWARDS,STIM_LEFT,80BPM,0.780678933072751,0.0180020992003962,0.0820810305759078,0.0640789313755116,3.50023902262425,0.643570095525213,0.505279357456757,0.128468266710842,83.0948076739018
CAD10,TRIGGER_RIGHT,STIM_NONE,STIM_NONE,110BPM,0.959826700374183,0.00173457825924568,0.043177390839237,0.0414428125799914,2.30835103349881,0.533342010420658,-0.069909079155332,-0.01460459926032,108.885218750775
CAD10,TRIGGER_RIGHT,STIM_NONE,STIM_NONE,80BPM,0.955017518003327,0.00191273008696709,0.0425216662590687,0.0406089361721016,2.90544824441811,0.499139355691858,-0.0253352613373287,0.0662009650772628,82.6762988054616
CAD10,TRIGGER_RIGHT,STIM_TOWARDS,STIM_RIGHT,110BPM,0.967686179802471,0.00160649864974566,0.0497155285238758,0.0481090298741302,2.27536019949711,0.5842304410825,-0.00727406256394902,-0.0638327767227654,109.375994767479
CAD10,TRIGGER_RIGHT,STIM_TOWARDS,STIM_RIGHT,80BPM,0.886441544494127,0.00739309026277569,0.0651038289473154,0.0577107386845397,3.84825395509278,0.67603512383955,-0.128429327251947,0.0269991742170852,82.3595175251542
CAD11,TRIGGER_LEFT,STIM_NONE,STIM_NONE,110BPM,0.945754355138428,0.00100108899427606,0.0184547348792833,0.0174536458850072,2.26587445136367,0.538551628357384,0.0553644998694801,-0.0174176817799838,108.599872109105
CAD11,TRIGGER_LEFT,STIM_NONE,STIM_NONE,80BPM,0.841551221660886,0.00166690662372475,0.0105201607812792,0.00885325415755444,2.53162259870866,0.577734260782731,0.131023074985118,0.0248160810877085,78.6874598156819
CAD11,TRIGGER_LEFT,STIM_TOWARDS,STIM_LEFT,110BPM,0.922440643118604,0.00282896482304204,0.0364748360068032,0.0336458711837612,2.40314333225195,0.594705571242948,0.222027308277044,0.00597095356274355,108.858815407502
CAD11,TRIGGER_LEFT,STIM_TOWARDS,STIM_LEFT,80BPM,0.855405661119201,0.00382265128742869,0.0264370743489482,0.0226144230615195,4.07824407067386,0.604473499320818,-0.679204798383253,0.185723873541803,80.9134495579633
CAD11,TRIGGER_RIGHT,STIM_NONE,STIM_NONE,110BPM,0.970063290869323,0.00101603929139268,0.0339395785608089,0.0329235392694162,2.22815015348341,0.485136494623718,0.28997562084929,0.00208552843538225,111.301337798702
CAD11,TRIGGER_RIGHT,STIM_NONE,STIM_NONE,80BPM,0.622770426065919,0.00309203386657541,0.00819668997403616,0.00510465610746075,2.07013528076986,0.291584705148985,0.353996536000447,0.0736670568903441,81.0117128660271
CAD11,TRIGGER_RIGHT,STIM_TOWARDS,STIM_RIGHT,110BPM,0.881757937774583,0.00324259242590022,0.0274233412786604,0.0241807488527602,2.26392866784035,0.475962678297371,0.409281721259072,-0.0373442001537224,111.871331245052
CAD11,TRIGGER_RIGHT,STIM_TOWARDS,STIM_RIGHT,80BPM,0.921673389867631,0.00311645169719967,0.0397879046716432,0.0366714529744435,3.31478677999217,0.473660724484717,0.377757873157888,-0.0653448428771299,82.6650599257773
CAD12,TRIGGER_LEFT,STIM_NONE,STIM_NONE,110BPM,0.965566635960298,0.00277452627545499,0.0805766834822151,0.0778021572067601,2.34912363061476,0.657892896162608,-0.074775126283695,0.0288506858185987,111.196261963281
CAD12,TRIGGER_LEFT,STIM_NONE,STIM_NONE,80BPM,0.931472318862346,0.00273995834253126,0.0399832344688185,0.0372432761262872,2.73975290565871,0.774251635474771,0.232676825005337,0.153022031551437,87.4676493644805
